Designator,Mid X,Mid Y,Rotation,Layer
D1,144.934984,-73.102541,270.0,top
D10,96.831059,-92.49084,90.0,top
D11,146.600299,-108.15839,270.0,top
D12,127.538475,-112.933653,270.0,top
D13,165.58085,-112.977322,270.0,top
D14,184.690048,-112.986474,270.0,top
D15,96.831059,-111.096491,270.0,top
D16,146.477617,-119.260899,270.0,top
D17,165.61646,-118.94248,270.0,top
D18,184.685682,-118.94248,270.0,top
D2,127.448652,-75.646797,270.0,top
D3,165.342052,-76.601015,270.0,top
D4,184.396031,-76.598416,270.0,top
D5,96.831059,-73.136456,270.0,top
D6,146.635957,-89.108159,90.0,top
D7,127.471063,-93.866235,90.0,top
D8,165.653208,-93.917619,90.0,top
D9,184.72049,-93.934964,90.0,top
MX1,137.938417,-63.54948,0.0,top
MX10,101.135079,-92.12448,180.0,top
MX11,137.938416,-101.649479,0.0,top
MX12,118.888415,-106.411978,0.0,top
MX13,156.988417,-106.411979,0.0,top
MX14,176.038416,-106.411979,0.0,top
MX15,101.135079,-111.174481,180.0,top
MX16,135.557165,-125.46198,0.0,top
MX17,156.988418,-125.461981,0.0,top
MX18,176.038416,-125.461979,0.0,top
MX2,118.888417,-68.311977,0.0,top
MX3,156.988417,-68.31198,0.0,top
MX4,176.038417,-68.311979,0.0,top
MX5,101.135077,-73.07448,180.0,top
MX6,137.938416,-82.599482,0.0,top
MX7,118.888417,-87.36198,0.0,top
MX8,156.988414,-87.36198,0.0,top
MX9,176.038417,-87.361978,0.0,top
SW1,176.492184,-53.661377,0.0,top
